Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,4.100000,4.100000,4.000000,4.000000,4.000000,17365977
2022-06-07,3.950000,4.050000,3.850000,3.950000,3.950000,18152919
2022-06-08,3.950000,3.950000,3.850000,3.900000,3.900000,8814347
2022-06-09,3.900000,4.050000,3.800000,4.000000,4.000000,58532216
2022-06-10,3.900000,3.950000,3.850000,3.850000,3.850000,10835668
2022-06-13,3.800000,3.800000,3.700000,3.700000,3.700000,29402484
2022-06-14,3.650000,3.850000,3.600000,3.750000,3.750000,62460682
2022-06-15,3.750000,3.900000,3.700000,3.700000,3.700000,9809930
2022-06-16,3.800000,3.850000,3.550000,3.550000,3.550000,27288397
2022-06-17,3.600000,3.600000,3.450000,3.500000,3.500000,10064555
2022-06-20,3.500000,3.550000,3.350000,3.350000,3.350000,11413317
2022-06-21,3.350000,3.450000,3.350000,3.400000,3.400000,12255357
2022-06-22,3.400000,3.450000,3.250000,3.250000,3.250000,15357986
2022-06-23,3.250000,3.350000,3.200000,3.250000,3.250000,12005791
2022-06-24,3.300000,3.400000,3.200000,3.300000,3.300000,12612656
2022-06-27,3.350000,3.450000,3.300000,3.450000,3.450000,17448112
2022-06-28,3.500000,3.550000,3.300000,3.300000,3.300000,16529919
2022-06-29,3.250000,3.400000,3.200000,3.350000,3.350000,10608983
2022-06-30,3.300000,3.450000,3.300000,3.400000,3.400000,6188436
2022-07-01,3.400000,3.400000,3.250000,3.300000,3.300000,13187334
2022-07-04,3.300000,3.400000,3.250000,3.400000,3.400000,9400863
2022-07-05,3.400000,3.400000,3.300000,3.400000,3.400000,4036190
2022-07-06,3.400000,3.400000,3.300000,3.350000,3.350000,5022220
2022-07-07,3.350000,3.500000,3.350000,3.400000,3.400000,4673182
2022-07-08,3.500000,3.550000,3.450000,3.550000,3.550000,10039280
2022-07-11,3.600000,3.700000,3.600000,3.700000,3.700000,2686548
2022-07-12,3.850000,3.850000,3.850000,3.850000,3.850000,1046562
2022-07-13,4.000000,4.000000,3.750000,3.850000,3.850000,14236500
2022-07-14,3.900000,3.900000,3.700000,3.700000,3.700000,13741603
2022-07-15,3.650000,3.750000,3.600000,3.700000,3.700000,5176336
2022-07-18,3.800000,3.850000,3.750000,3.850000,3.850000,7878943
2022-07-19,3.950000,4.000000,3.900000,4.000000,4.000000,6814985
2022-07-20,4.200000,4.200000,3.900000,3.900000,3.900000,21365511
2022-07-21,3.950000,3.950000,3.900000,3.900000,3.900000,3835274
2022-07-22,3.900000,4.000000,3.850000,3.950000,3.950000,7864184
2022-07-25,3.900000,3.950000,3.800000,3.900000,3.900000,7108526
2022-07-26,3.900000,3.900000,3.750000,3.750000,3.750000,7150115
2022-07-27,3.750000,3.850000,3.700000,3.800000,3.800000,6792441
2022-07-28,3.800000,3.950000,3.700000,3.750000,3.750000,18421292
2022-07-29,3.800000,3.900000,3.750000,3.900000,3.900000,8584953
2022-08-01,4.000000,4.050000,3.850000,3.950000,3.950000,18819719
2022-08-02,3.950000,3.950000,3.850000,3.900000,3.900000,11459872
2022-08-03,3.900000,3.950000,3.750000,3.800000,3.800000,9558387
2022-08-04,3.800000,3.850000,3.700000,3.750000,3.750000,7289514
2022-08-05,3.800000,3.900000,3.750000,3.900000,3.900000,11339227
2022-08-08,4.000000,4.000000,3.800000,3.800000,3.800000,13212478
2022-08-10,3.850000,3.850000,3.700000,3.800000,3.800000,7964644
2022-08-11,3.850000,3.850000,3.750000,3.800000,3.800000,6694340
2022-08-12,3.850000,3.950000,3.750000,3.800000,3.800000,9007390
2022-08-16,3.850000,3.900000,3.800000,3.850000,3.850000,6806418
2022-08-17,3.800000,4.000000,3.800000,4.000000,4.000000,28665151
2022-08-18,3.950000,4.150000,3.900000,4.000000,4.000000,40474989
2022-08-19,4.050000,4.100000,3.850000,3.950000,3.950000,21307600
2022-08-22,3.950000,4.050000,3.850000,3.950000,3.950000,26140684
2022-08-23,3.950000,4.000000,3.900000,4.000000,4.000000,12851835
2022-08-24,4.000000,4.200000,3.950000,4.050000,4.050000,40601047
2022-08-25,4.050000,4.100000,3.950000,4.000000,4.000000,11199056
2022-08-26,4.000000,4.200000,3.950000,4.050000,4.050000,21559610
2022-08-29,3.950000,4.000000,3.900000,3.950000,3.950000,8590242
2022-08-30,3.950000,4.050000,3.950000,3.950000,3.950000,7686956
2022-09-01,3.950000,4.100000,3.900000,4.100000,4.100000,16329939
2022-09-02,4.300000,4.300000,4.300000,4.300000,4.300000,2883378
2022-09-05,4.500000,4.500000,4.250000,4.500000,4.500000,65981399
2022-09-06,4.700000,4.700000,4.400000,4.700000,4.700000,49593947
2022-09-07,4.600000,4.900000,4.600000,4.900000,4.900000,25907385
2022-09-08,5.100000,5.100000,5.100000,5.100000,5.100000,4186346
2022-09-09,5.350000,5.350000,5.000000,5.150000,5.150000,75073709
2022-09-12,5.150000,5.400000,5.150000,5.400000,5.400000,39881378
2022-09-13,5.600000,5.650000,5.300000,5.550000,5.550000,53497767
2022-09-14,5.350000,5.400000,5.300000,5.300000,5.300000,14565651
2022-09-15,5.150000,5.200000,5.050000,5.050000,5.050000,22050039
2022-09-16,4.900000,5.200000,4.800000,5.000000,5.000000,68677590
2022-09-19,5.000000,5.100000,4.750000,4.750000,4.750000,22495315
2022-09-20,4.750000,4.950000,4.550000,4.600000,4.600000,27128389
2022-09-21,4.600000,4.700000,4.400000,4.500000,4.500000,19862280
2022-09-22,4.450000,4.700000,4.400000,4.700000,4.700000,16061815
2022-09-23,4.800000,4.900000,4.500000,4.600000,4.600000,31161393
2022-09-26,4.500000,4.550000,4.400000,4.400000,4.400000,7286499
2022-09-27,4.300000,4.400000,4.200000,4.250000,4.250000,15671632
2022-09-28,4.250000,4.450000,4.200000,4.300000,4.300000,26557947
2022-09-29,4.400000,4.400000,4.200000,4.300000,4.300000,6518954
2022-09-30,4.300000,4.400000,4.200000,4.350000,4.350000,9495428
2022-10-03,4.300000,4.450000,4.250000,4.300000,4.300000,7193314
2022-10-04,4.400000,4.450000,4.300000,4.300000,4.300000,4291367
2022-10-06,4.350000,4.450000,4.300000,4.400000,4.400000,7538318
2022-10-07,4.450000,4.600000,4.400000,4.600000,4.600000,12213051
2022-10-10,4.700000,4.800000,4.550000,4.800000,4.800000,13813965
2022-10-11,4.850000,5.000000,4.600000,4.600000,4.600000,22265793
